year,ann_min,ann_p50,ann_p90,ann_p99,ann_max,neg_cnt,nan_cnt
2001,0.0,439.14429129305205,516.0015296244063,615.9056168772839,677.3468514166307,0,0
2002,0.0,440.6511593805626,514.3188321301868,560.6496800583133,579.3110610111617,0,0
2003,0.0,473.9199825592733,537.2928872171913,596.0525056102499,681.9799002398682,0,0
2004,0.0,525.5795504319358,603.8295371936408,660.4257330159122,746.3083214406506,0,0
2005,0.0,444.88704170424535,502.28388797239353,563.5330320535302,624.7570582730696,0,0
2006,0.0,509.3161539615798,595.3486635707203,657.0937364001247,679.1261400066971,0,0
2007,0.0,536.5052743146662,630.8020914252476,678.8002707883337,702.0874203908024,0,0
2008,0.0,509.8696491836308,581.6121559476014,661.1840394537843,685.296187564725,0,0
2009,0.0,358.37700983541885,429.5446858600364,516.3123602960871,536.6069431063211,0,0
2010,0.0,362.456966188044,437.5872360514477,462.700016776144,519.2903411951847,0,0
2011,0.0,511.7974619420711,616.049648894847,664.7788129009608,694.1228539154251,0,0
2012,0.0,554.662523210181,622.7169704087183,650.8815546471533,745.0068712230131,0,0
2013,0.0,539.0447340284584,613.1447803837939,648.6124861010735,715.6088052387349,0,0
2014,0.0,470.9603786160005,524.1754882280482,554.4970154123195,582.3719892657828,0,0
2015,0.0,452.14372876810376,525.2815891210097,554.7731796646679,610.8358810627833,0,0
2016,0.0,525.4560354910791,629.9478286700323,742.8073946239591,815.4019887389037,0,0
2017,0.0,585.8349606457632,625.8338253923226,663.3776442065677,721.3786445730366,0,0
2018,0.0,412.8519750703126,497.83091098756995,601.6955171883549,704.1395267402986,0,0
2019,0.0,532.7336504201853,634.8809063424939,697.9656246727196,819.3990275140386,0,0
2020,0.0,517.9056254122406,585.9669403417787,649.4809706573435,670.4336700448971,0,0
2021,0.0,462.6159889112285,549.3798373277128,623.642515581757,672.1770821704945,0,0
2022,0.0,562.7850478152977,658.668363580131,842.0807106924101,906.3872562331729,0,0
2023,0.0,434.58399381849046,491.6857897579542,529.4425651419698,605.874932143488,0,0
2024,0.0,457.57508069841424,516.5574832263214,560.8346011365043,619.0872727045789,0,0
2025,0.0,457.1517984774141,529.2289999384957,577.8317828609981,603.1474418435246,0,0
