year,ann_min,ann_p50,ann_p90,ann_p99,ann_max,neg_cnt,nan_cnt
2001,0.0,480.86866494081914,543.1340754632373,606.4095621138067,649.2313127988018,0,0
2002,0.0,484.44240070250817,530.411792426277,561.4921074855328,580.7712725028396,0,0
2003,0.0,499.1994958901778,599.2233473358443,656.5411894695461,693.8136999607086,0,0
2004,0.0,557.1029187228996,647.4981743481476,712.9201775890357,773.1270773531869,0,0
2005,0.0,496.7603287657257,550.119470268814,599.3263635963342,657.5232433765195,0,0
2006,0.0,541.7680041242857,648.7831259528408,695.2988005857728,716.2069596869405,0,0
2007,0.0,582.9736941307783,669.9728368296288,712.1385130531434,735.2823024769314,0,0
2008,0.0,562.9713407598902,628.151784930029,704.2095495657252,734.6664423616603,0,0
2009,0.0,401.72616089647636,474.6153064658167,520.3493109309813,566.0198494540527,0,0
2010,0.0,415.5422725902172,476.0274696561508,510.8354949532263,556.5994706528727,0,0
2011,0.0,575.1092165329028,634.6218448971864,678.4265528697009,695.7345717679709,0,0
2012,0.0,592.6830614167266,658.5581634962931,696.0589115329087,763.7075859000906,0,0
2013,0.0,568.8728021699935,668.0181364402641,722.3826146974183,739.3921047677286,0,0
2014,0.0,507.3603015898261,547.114089874411,580.356108002942,605.3034495976754,0,0
2015,0.0,493.38528777461033,547.0660842248471,593.4519838672853,660.7407789332792,0,0
2016,0.0,556.6052399105392,645.5616571563762,752.536320560514,816.0793806090951,0,0
2017,0.0,601.7916318608914,676.404737218516,700.7545837831451,742.5870096695144,0,0
2018,0.0,428.9045938346535,507.16000371812845,604.1603498328573,701.591540847905,0,0
2019,0.0,548.8289283034392,666.1071947758086,723.5505939886347,818.3704906031489,0,0
2020,0.0,546.2341004761402,626.8671614421997,670.4355794373621,711.7203127841931,0,0
2021,0.0,482.3876348149497,580.568836599635,647.1022490686086,724.6759845602792,0,0
2022,0.0,580.4235427030071,685.9683370926883,861.9926838857065,929.0804327761289,0,0
2023,0.0,452.2366991797462,528.9348234800157,576.9293782002037,648.9811161181424,0,0
2024,0.0,489.57874414348044,547.9679782271851,588.450851899814,661.2466814601794,0,0
2025,0.0,473.5033412624616,542.9235375121701,603.3423256063322,633.3995807939209,0,0
