year,P_station_mm,P_sat_mm,P_corrected_mm,n_rows,expected,completeness,raster_v2_mm,pbias_v2_pct,abs_pbias_v2,raster_v3_mm,pbias_v3_pct,abs_pbias_v3,raster_v4_mm,pbias_v4_pct,abs_pbias_v4,raster_v5_mm,pbias_v5_pct,abs_pbias_v5
1966,583.8,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1967,442.6,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1968,486.8,0.0,0.0,2928,2928,1.0,,,,,,,,,,,,
1969,460.1,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1970,655.1,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1971,542.3,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1972,389.4,0.0,0.0,2928,2928,1.0,,,,,,,,,,,,
1973,529.6,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1974,433.7,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1975,471.2,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1976,642.8,0.0,0.0,2928,2928,1.0,,,,,,,,,,,,
1977,490.0,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1978,768.3,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1979,279.9,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1980,42.9,0.0,0.0,2928,2928,1.0,,,,,,,,,,,,
1981,501.2,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1982,542.6,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1983,618.7,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1984,528.8,0.0,0.0,2928,2928,1.0,,,,,,,,,,,,
1985,614.0,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1986,564.0,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1987,494.5,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1988,510.1,0.0,0.0,2928,2928,1.0,,,,,,,,,,,,
1989,719.5,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1990,611.7,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1991,485.8,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1992,428.7,0.0,0.0,2928,2928,1.0,,,,,,,,,,,,
1993,437.9,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1994,539.3,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1995,510.6,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1996,368.4,0.0,0.0,2928,2928,1.0,,,,,,,,,,,,
1997,594.0,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1998,599.2,0.0,0.0,2920,2920,1.0,,,,,,,,,,,,
1999,644.3,476.1399888275191,481.18280493295015,2920,2920,1.0,,,,,,,,,,,,
2000,564.5,486.717988261953,494.2139765747175,2928,2928,1.0,,,,,,,,,,,,
2001,691.7,498.81998918484896,501.9127381636927,2920,2920,1.0,469.3118024772617,-32.15096104130957,32.15096104130957,506.4776594885625,-26.777843069457504,26.777843069457504,506.4776594885625,-26.777843069457504,26.777843069457504,596.3544248058461,-13.784238137075896,13.784238137075896
2002,580.0,517.6029882691801,522.108954119935,2920,2920,1.0,503.4029598501511,-13.20638623273257,13.20638623273257,528.6172817270271,-8.859089357409113,8.859089357409113,541.2629618798383,-6.678799675889955,6.678799675889955,562.0160487280227,-3.1006812537891855,3.1006812537891855
2003,499.0,516.3139868117869,520.1115927876325,2920,2920,1.0,487.9246632116847,-2.219506370403873,2.219506370403873,527.8190270569175,5.775356123630771,5.775356123630771,527.8190270569175,5.775356123630771,5.775356123630771,521.4773920704611,4.504487388869953,4.504487388869953
2004,579.2,547.7979884045199,550.6570374877954,2928,2928,1.0,548.2694431100964,-5.340220457510987,5.340220457510987,563.3604432595894,-2.7347301002090245,2.7347301002090245,563.3604432595894,-2.7347301002090245,2.7347301002090245,563.3604432595894,-2.7347301002090245,2.7347301002090245
